particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,0,0,0,0,0.848027229,1.26476276,4.62848806,0.105658375,-1
4503599660924928,13,0,0,0,0,0,4.27556467,5.36205721,-31.1338291,0.105658375,-1
4503599677702144,-13,0,0,0,0,0,1.44139445,-2.5291512,-6.84722376,0.105658375,1
4503599694479360,-13,0,0,0,0,0,-4.81171894,-4.37730551,-37.9707489,0.105658375,1
4503599711256576,13,0,0,0,0,0,-1.6667676,6.28957224,-19.1950054,0.105658375,-1
4503599728033792,13,0,0,0,0,0,3.05295897,-0.508042872,-11.7843904,0.105658375,-1
4503599744811008,-13,0,0,0,0,0,1.75014913,5.34907484,2.69413257,0.105658375,1
4503599761588224,13,0,0,0,0,0,4.53816748,-5.48988676,-1.78096557,0.105658375,-1
4503599778365440,13,0,0,0,0,0,9.19519711,-3.05905056,21.6098042,0.105658375,-1
4503599795142656,13,0,0,0,0,0,3.0625689,0.308268517,-5.19665956,0.105658375,-1
4503599811919872,13,0,0,0,0,0,3.92952323,3.7859273,-27.7208786,0.105658375,-1
4503599828697088,13,0,0,0,0,0,-2.04542065,1.6692853,4.36445332,0.105658375,-1
4503599845474304,13,0,0,0,0,0,-5.87339067,-0.744532228,-13.6980162,0.105658375,-1
4503599862251520,13,0,0,0,0,0,2.7656424,-4.22272158,-2.76918983,0.105658375,-1
4503599879028736,-13,0,0,0,0,0,-7.59277153,-5.36484671,-35.7878494,0.105658375,1
4503599895805952,-13,0,0,0,0,0,-9.56797886,-1.25970542,26.1571655,0.105658375,1
4503599912583168,13,0,0,0,0,0,-1.13124132,8.38265133,-6.58978748,0.105658375,-1
4503599929360384,-13,0,0,0,0,0,-2.72537684,-2.17037463,-4.19527864,0.105658375,1
4503599946137600,-13,0,0,0,0,0,8.81754208,4.46144867,18.0080242,0.105658375,1
4503599962914816,13,0,0,0,0,0,-0.304052591,1.08491766,-2.41447973,0.105658375,-1
